timestamp,session_id,encounter_number,pokemon,ocr_text,confidence,is_target,target_name,window_title
2026-03-09 14:37:03,20260309_143513,1,NIDORINO,MIDORIMOE,0.706,False,Rhyhorn,mGBA
2026-03-09 14:48:53,20260309_144852,1,NIDORINO,MIDORIMOE,0.706,False,Pichu,mGBA
2026-03-09 14:53:53,20260309_145352,2,NIDORINO,MIDORIMOE,0.706,False,Pichu,mGBA
2026-03-09 14:55:25,20260309_145524,3,NIDORINO,MIDORIMOE,0.706,False,Pichu,mGBA
2026-03-09 14:56:49,20260309_145648,4,NIDORINO,MIDORIMOE,0.706,False,Pichu,mGBA
2026-03-09 15:08:52,20260309_150842,5,SCYTHER,BSCYTHER,0.933,False,Pichu,mGBA
2026-03-09 15:09:44,20260309_150842,6,RHYHORN,RHYHORN,1.0,False,Pichu,mGBA
